---------- Office 2007 -------------
DocumentFormat.OpenXml.Office2019.Excel.Revision2, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2015.Revision2
DocumentFormat.OpenXml.Office2019.Excel.Revision3, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2016.Revision3
DocumentFormat.OpenXml.Office2019.Excel.Revision5, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2016.Revision5
DocumentFormat.OpenXml.Office2019.Excel.Revision6, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2016.Revision6
DocumentFormat.OpenXml.Office2019.Excel.Revision9, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2016.Revision9
DocumentFormat.OpenXml.Office2019.Excel.Revision10, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2016.Revision10
DocumentFormat.OpenXml.Office2019.Excel.Revision16, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2017.Revision16
DocumentFormat.OpenXml.Office2019.Excel.RichData2, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2017.RichData2
DocumentFormat.OpenXml.Office2019.Excel.RichData, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2017.RichData
DocumentFormat.OpenXml.Office2019.Excel.CalcFeatures, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2018.CalcFeatures
DocumentFormat.OpenXml.Office2019.Excel.ThreadedComments, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2018.ThreadedComments
DocumentFormat.OpenXml.Office2019.Drawing.Chart, DocumentFormat.OpenXml.Office.Drawing.Y2017.M03.Chart
DocumentFormat.OpenXml.Office2019.Excel.DynamicArray, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2017.DynamicArray
DocumentFormat.OpenXml.Office2019.Drawing.Model3D, DocumentFormat.OpenXml.Office.Drawing.Y2017.Model3D
DocumentFormat.OpenXml.Office2019.Drawing, DocumentFormat.OpenXml.Office.Drawing.Y2016.M11.Main
DocumentFormat.OpenXml.Office2019.Drawing.Diagram11, DocumentFormat.OpenXml.Office.Drawing.Y2016.M11.Diagram
DocumentFormat.OpenXml.Office2019.Drawing.Diagram12, DocumentFormat.OpenXml.Office.Drawing.Y2016.M12.Diagram
DocumentFormat.OpenXml.Office2019.Drawing, DocumentFormat.OpenXml.Office.Drawing.Y2017.Decorative
DocumentFormat.OpenXml.Office2019.Drawing.Animation, DocumentFormat.OpenXml.Office.Drawing.Y2018.Animation
DocumentFormat.OpenXml.Office2019.Drawing.Animation.Model3D, DocumentFormat.OpenXml.Office.Drawing.Y2018.Animation.Model3D
DocumentFormat.OpenXml.Office2019.Drawing.Ink, DocumentFormat.OpenXml.Office.Drawing.Y2016.Ink
DocumentFormat.OpenXml.Office2019.Drawing.HyperLinkColor, DocumentFormat.OpenXml.Office.Drawing.Y2018.HyperlinkColor
DocumentFormat.OpenXml.Office2019.Word.Cid, DocumentFormat.OpenXml.Office.Word.Y2016.WordML.CID
DocumentFormat.OpenXml.Office2019.Drawing.SVG, DocumentFormat.OpenXml.Office.Drawing.Y2016.SVG.Main
---------- Office 2021 Extensions -------------
DocumentFormat.OpenXml.Office2021.MipLabelMetaData, DocumentFormat.OpenXml.Office.Y2020.MipLabelMetaData
DocumentFormat.OpenXml.Office2021.Drawing.DocumentClassification, DocumentFormat.OpenXml.Office.Drawing.Y2020.ClassificationShape
DocumentFormat.OpenXml.Office2021.Drawing.SketchyShapes, DocumentFormat.OpenXml.Office.Drawing.Y2021.Livefeed
DocumentFormat.OpenXml.Office2021.Drawing.Livefeed, DocumentFormat.OpenXml.Office.Drawing.Y2021.Livefeed
DocumentFormat.OpenXml.Office2021.OfficeExtLst, DocumentFormat.OpenXml.Office.Y2019.ExtLst
DocumentFormat.OpenXml.Office2021.PowerPoint.Comment, DocumentFormat.OpenXml.Office.PowerPoint.Y2018.M08.Main
DocumentFormat.OpenXml.Office2021.PowerPoint.Tasks, DocumentFormat.OpenXml.Office.PowerPoint.Y2019.M12.Main
DocumentFormat.OpenXml.Office2021.PowerPoint.Designer, DocumentFormat.OpenXml.Office.PowerPoint.Y2020.M02.Main
DocumentFormat.OpenXml.Office2021.DocumentTasks, DocumentFormat.OpenXml.Office.Tasks.Y2019.DocumentTasks
DocumentFormat.OpenXml.Office2021.Word.ExtensionList, DocumentFormat.OpenXml.Office.Word.Y2018.WordML
DocumentFormat.OpenXml.Office2021.Word.CommentsExt, DocumentFormat.OpenXml.Office.Word.Y2018.WordML.CEX
DocumentFormat.OpenXml.Office2021.Word.SdtDataHash, DocumentFormat.OpenXml.Office.Word.Y2020.WordML.SdtDataHash
DocumentFormat.OpenXml.Office2021.Excel.NamedSheetViews, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2019.NamedSheetViews
DocumentFormat.OpenXml.Office2021.Excel.RichDataWebImage, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2020.RichDataWebImage
DocumentFormat.OpenXml.Office2021.Excel.ThreadedComments2, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2020.ThreadedComments2
DocumentFormat.OpenXml.Office2021.Excel, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2018.M08.Main
DocumentFormat.OpenXml.Office2021.Excel.ExternalLinks, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2019.ExtLinksProps
DocumentFormat.OpenXml.Office2021.Excel.RichValueRefreshIntervals, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2020.RichValueRefresh
DocumentFormat.OpenXml.Office2021.Excel.Pivot, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2020.PivotNov2020
---------- M365 Extensions -------------
